id,name,address,phone,website,latitude,longitude,hospital_type,is_24_hours,has_emergency,has_dermatology,has_wound_care,created_at,updated_at
1,รพ. ศิริราช,2 ถนนวังหลัง แขวงศิริราช เขตบางกอกน้อย กรุงเทพมหานคร,02-419-7000,https://www.si.mahidol.ac.th,13.75889500,100.48510300,government,1,1,1,1,2026-06-06 10:17:13,2026-06-06 10:17:13
2,รพ. สมิติเวช สุขุมวิท,133 ถนนสุขุมวิท 49 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร,02-022-2222,https://www.samitivejhospitals.com,13.73432800,100.57682700,private,1,1,1,1,2026-06-06 10:17:13,2026-06-06 10:17:13
3,รพ. กรุงเทพคริสเตียน,124 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร,02-235-1000,https://www.bch.in.th,13.72859000,100.53118700,private,1,1,1,1,2026-06-06 10:17:13,2026-06-06 10:17:13
